word,phonetic,translation
boucle,ˈbu:kleɪ,n. 仿羔皮呢毛圈花式線
boudin,bu:'dæŋ," n.血腸, 香腸狀碎肉"
boudoir,'bu:dwɑ:r,n. 閨房
bouffant,bu:'fɒŋ,"a. 鼓脹的, 柔軟而膨鬆的"
bougainvillaea,.bu:gәn'viliә,n. 九重葛屬植物
bougainvillea,bu:^әn'viliә,n. [植]葉子花屬
bough,bau,n. 大樹枝
bouillabaisse,",bu:ljә'beis",n. (由數種魚肉合煮而成的)濃味魚肉湯
bouillon,'bu:jɔŋ,n. 牛肉清湯\n[醫] 肉湯
boulder,'bәuldә,"n. 大圓石\n[機] 圓石, 漂石"
Boule,'bu:li,"n. 議會, 下議院, 立法會議"
boulevard,'bu:lәvɑ:d,n. 林蔭大道
bounce,bauns,"n. 跳, 跳躍, 彈力, 撞擊\nvi. 反跳, 彈跳\nvt. 使跳回, 撞擊\n[計] 打回"
bounced,,n. 空頭支票
bouncer,'baunsә,"n. 巨大的東西, 巨人, 跳躍的人, 同類中最大者"
bouncing,'baunsiŋ,"a. 跳躍的, 巨大的, 活潑的\n[經] 由於資金不足而拒付支票"
bouncy,'baunsi,"a. 快活的, 精神飽滿的, 有彈性的, 自大的"
bound,baund,"n. 躍, 回跳, 範圍, 邊界\na. 受約束的, 裝有封面的, 有義務的, 關聯的, 被束縛的, 準備去...的, 便秘的\nvi. 跳躍, 彈起\nvt. 使跳, 限制, 形成...的疆界\nbind過去式和過去分詞\n[計] 裝訂的"
boundary,'baundri,"n. 邊界, 分界線\n[計] 邊界"
bounded,'baundid,a. 有界限的
bounder,'baundә,"n. 粗魯的人, 暴發戶"
bounding,baundɪŋ,v. 跳( bound的現在分詞 ); 彈回; 向上彈; 向上跳
boundless,'baundlis,"a. 無限的, 無邊無際的\n[經] 無限的"
boundlessly,'baʊndlɪslɪ,"adv. 無窮地, 無限地"
boundlessness,,n. 無窮
bounteous,'bauntiәs,"a. 慷慨的, 充足的, 寬裕的"
bountiful,'bauntiful,"a. 慷慨的, 寬大的"
bountifully,'baʊntɪfəlɪ,adv. 慷慨地
bounty,'baunti,"n. 慷慨, 寬大, 禮物\n[經] 獎勵金, 補貼"
bouquet,bu'kei,"n. 花束\n[醫] 叢, 酒香, 末梢分極"
Bourbon,'buәbәn,[機] 波旁
bourgeois,buә'ʒwɑ:,"n. 中產階級分子, 商人, 資產階級\na. 中產階級的, 平庸的\nn. 九點活字"
bourgeoise,'buәʒwɑ:z,n. 中產階級(或資產階級)的女人
bourgeoisie,.buәʒwɑ:'zi:,"n. 中產階級, 資產階級"
bourse,buәs,n. 交易所\n[醫] 囊狀組織
bout,baut,"n. 一回, 回合, 較量\n[醫] 發作"
boutique,bu:'ti:k,n. 專賣流行衣服的小商店
boutonniere,,[醫] 鈕孔狀切開術(尿道)
bovine,'bәuvain,a. 牛的；似牛的；遲鈍的
bow,bәu.bau,"n. 弓, 眼睛框\nv. 用弓拉琴, 彎成弓形\nn. 鞠躬, 屈服"
bowed,bәud,"a. 彎如弓的, 低垂的"
bowel,'bauәl,"n. 腸, 內臟, 內部\nvt. 挖...的內臟"
bower,'bauә,"n. 涼亭, 樹陰處"
bowerbird,'bauәbә:d,n. 園丁鳥(產於澳洲和新幾內亞)
bowhunter,bəʊ'hʌntə," [體]弓獵手"
bowhunting,'bəuhʌntiŋ," [體]弓獵"
bowing,'bauiŋ,n. 運弓法
bowl,bәul,"n. 碗, 木球, 大酒杯\nv. 滾木球, 快而穩地行駛"
bowler,'bәulә,"n. 玩滾球的人, 玩球戲的人, 投球手"
bowlful,'bәulful,n. 一滿碗
bowline,'bәulin 'bәulain,n. 單套結；帆腳索
bowling,'bәuliŋ,n. 保齡球戲
bowman,'bәumәn,"n. 弓射手, 持弓的兵, 船首的划手"
bowrider,"'bau,raidə","n. (設有座位的)汽船, 汽艇"
bowsprit,'bausprit,n. 船首斜桁
bowstring,'bәustriŋ,"n. 弓弦, 絞索\nvt. 絞死"
box,bɒks,"n. 盒子, 箱, 方框, 一巴掌\nvt. 裝...入盒中, 裝箱, 打耳光\nvi. 拳擊\n[計] 方框"
boxcar,'bɒkskɑ:,n. 有蓋貨車\n[電] 轉換盒
boxed,bɔkst,a. 醉酒的
boxer,'bɒksә,n. 拳師
boxful,'bɒksful,n. 一箱的
boxing,'bɒksiŋ,n. 拳擊\n[醫] 圍模(牙科)
boxlike,'bɒkslaik,a. 像箱子一樣的
boxwood,'bɒkswud,"n. 黃楊木材, 黃楊木\n[醫] 黃楊"
boxy,'bɔksi,"a. 似盒子的, 盒狀的"
boy,bɒi,"n. 男孩\n[法] 男孩, 少年, 兒子"
boyar,'bɔ:jɑ:,"n. 波維爾（沙俄一貴族階層的成員, 地位僅次於王公, 此階層后被彼得大帝廢除, 也指羅馬尼亞一特權階層的成員）"
boycott,'bɒikɒt,n. 聯合抵制\nvt. 聯合抵制
boyfriend,'bɔifrend,n. 男朋友
boyhood,'bɒihud,n. 少年時代
boyish,'bɒiiʃ,"a. 男孩的, 像男孩的"
boyishly,'bɔɪɪʃlɪ,"adv. 少年地, 稚氣地"
boyishness,,n. 少年\n孩子氣；幼稚
boyo,ˈbɔɪəʊ,"n. 男孩, 小夥子"
bozo,'bәuzәu,"n. 傢伙, 新兵, 大漢"
bra,brɑ:,n. 奶罩\n[化] 左矢; 刁
brace,breis,"n. 支柱, 曲柄, 支撐, 一對\nvt. 緊縛, 支撐, 激勵\nvi. 打起精神\n[計] 花括號"
bracelet,'breislit,"n. 手鐲\n[醫] 手鐲, 腕帶, 腕紋(掌側橫列腕部的線紋)"
bracero,brә'serәu,n. (合法入境干農活的) 墨西哥短期合同工
brachial,'breikiәl,"a. 臂的, 臂狀的\n[醫] 臂的, 肱的"
brachialis,,[醫] 肱肌
brachiopod,'brækiәpɒd,n. 腕足動物
bracing,'breisiŋ,"a. 新鮮的, 涼爽的, 爽快的, 振奮精神的\nn. 聯條, 支撐物, 支柱, 背帶"
bracingly,,令人振奮地
bracken,'brækn,n. 歐洲蕨
bracket,'brækit,"n. 支架, 括弧, 托架\nvt. 裝托架, 括入括弧\n[計] 方括號; 括號"
bracketed,'brækətɪd,v. 把…括在括弧內( bracket的過去式和過去分詞 ); 把…歸為一類
bracketing,'brækitiŋ,[計] 括入括號
brackish,'brækiʃ,"a. 有鹽味的, 令人不快的\n[機] 微有鹼味的"
bract,brækt,"n. 苞片, 苞\n[醫] 苞, 苞片"
bradycardia,brædi'kɑ:diә,"n. 心動過緩, 心搏徐緩\n[醫] 心搏徐緩"
brag,bræg,n. 吹牛\nv. 吹牛
braggadocio,.brægә'dәutʃiәu,"n. 自誇, 吹牛大王"
braggart,'brægәt,"n. 吹牛者, 自誇者\na. 吹牛的, 自誇的"
bragging,,n. 吹牛
braid,breid,"n. 辮子, 穗帶\nvt. 編成辮, 鑲邊"
braided,'breidid,a. 編辮子的；有飾帶鑲綴的
braiding,'breidiŋ,[計] 穿線
braille,breil,n. 布萊葉點字法(盲人用點字法)\nvt. 用布萊葉點字法印刷
braillewriter,"'breil,raitә(r)",n. 盲人用點字法
brain,brein,n. 腦\nvt. 打碎腦部
braincase,'breinkeis,n. 腦殼
brainchild,'breintʃaild,n. 腦力勞動的產物
brainiac,'breɪnɪæk,"n. 才智非凡的人, 智力超群的人"
brainless,'breinlis,"a. 無頭腦的, 愚笨的"
brainpan,'breinpæn,n. 頭蓋骨
brainpower,'breinpauә,"n. 智能, 智囊"
brainstem,,n. 腦幹
brainstorm,'breinstɒ:m,n. 靈機一動\nv. 集體討論
brainstorming,"'brein,stɔ:miŋ","自由討論, 發表獨創[創造]性意見, 智力爆發"
brainwash,'breinwɒʃ,n. 洗腦\nvt. 對人洗腦
brainwashed,ˈbreɪnˌwɔʃt,"v. 對…進行洗腦, 把某種思想強加於, 通過宣傳灌輸說服( brainwash的過去式和過去分詞 )"
brainwashing,'breinwɒʃiŋ,n. 洗腦
brainwave,'breinweiv,"n. 腦(電)波, 靈感"
brainy,'breini,"a. 腦筋好的, 聰明的"
braise,breiz,"vt. 燉, 蒸"
braised,breɪzd,"a. 燉熟的, 燜熟的, 用文火燉到全熟的\nv. 燉, 燜( braise的過去式和過去分詞 )"
braising,breɪzɪŋ,"v. 燉, 燜( braise的現在分詞 )"
brake,breik,"n. 剎車, 阻礙, 叢林\nv. 剎車"
brakeman,'breikmәn,"n. 司閘員, 制動手"
braking,'breikiŋ,v. 制動系統；剎車；制動（brake的現在分詞）
braless,'brɑ:lis,a. 不戴胸罩的
bramble,'bræmbl,"n. 荊棘, 懸鉤子屬植物, 黑莓"
bran,bræn,"n. 糠, 麩\n[醫] 麩, 糠"
branch,bræntʃ,"n. 樹枝, 支店, 支流, 分部\nvi. 分支, 出枝\nvt. 分割, 用枝狀葉脈刺繡花紋裝飾\n[計] 分支, 目錄分支"
branched,,a. 分枝的；枝狀的；有枝的
branchial,'bræŋkiәl,"a. 鰓的, 鰓狀的\n[醫] 鰓的"
branching,'bræntʃiŋ,"n. 分歧\na. 發枝的, 分歧的"
brand,brænd,"n. 商標, 牌子, 烙印\nvt. 打烙印於"
brandade,brɔŋ'dɑ:d,"n. 奶油烙(鱈)魚,魚羹"
branded,'brændid,a. 名牌商標的；打有烙印的；[英方]有斑紋的（等於brindled）
brandied,'brændid,[機] 用白蘭地酒增加香味的
branding,,"[法] 刺字刑, 烙印"
brandish,'brændiŋ,"vt. 揮, 揮舞\nn. 揮舞"
brandy,'brændi,n. 白蘭地酒\n[化] 白蘭地
brane,,abbr. bombing radar and navigation equipment 轟炸雷達及領航設備
brash,bræʃ,"a. 性急的, 倉促的, 無禮的, 傲慢的\nn. 胃灼熱, 驟雨, 碎石堆"
brashly,'bræʃlɪ,"adv. 胃灼熱地, 驟雨般地"
brashness,'bræʃnəs,"n. 自以為是, 莽撞無禮"
brass,bræs.brɑ:s,"n. 黃銅, 黃銅製品\na. 黃銅的, 銅管樂器的\nv. 鍍以黃銅, 支付"
brasserie,'brɑ:s'ri:,n. 啤酒店
Brassica,,"[醫] 芥屬, 芸苔屬"
brassiere,'bræsiә,n. 奶罩
brassy,'bræsi,"a. 似黃銅的, 厚臉皮的\nn. 銅頭高爾夫球棍"
brat,bræt,"n. 乳臭未乾的小孩, 小孩\n[機] 不煤, 原煤"
bratty,'bræti,"a. 討厭的, 不服從的"
bratwurst,'brætwә:st,n. (供煎食的)德國式小香腸
brava,'brɑ:vɑ:,int. [向女性喝彩時用]好啊!
bravado,brә'vɑ:dәu,n. 虛張聲勢
brave,breiv,"a. 勇敢的, 美好的, 華麗的\nn. 勇敢者\nvt. 勇敢地面對"
bravely,'breivli,adv. 勇敢地
bravery,'breivәri,n. 勇敢
bravo,'brɑ:vәu,"n. 亡命徒, 喝彩\ninterj. 好啊\nvt. 喝彩"
bravura,brә'vjuәrә,n. 大膽的嘗試；令人讚賞的演唱或演奏技巧
brawl,brɒ:l,"n. 爭吵\nvi. 爭吵, 嘩嘩地流水"
brawler,,"n. 爭吵者, 喧鬧者\n[法] 爭吵者, 喧鬧者"
brawn,brɒ:n,"n. 發達的肌肉, 膂力, 體力, 熟腌肉\n[醫] 肌質, 肌肉"
brawny,'brɒ:ni,"a. 肌肉結實的, 頑強的\n[醫] 多肉的, 肌膚的"
bray,brei,"n. 驢叫聲, 喇叭聲\nv. 叫, 嘶叫"
braying,breɪŋ,v. 發出驢叫似的聲音( bray的現在分詞 ); 發嘟嘟聲; 粗聲粗氣地講話（或大笑）; 猛擊
braze,breiz,"vt. 使成黃銅色\n[計] 硬釺焊, 銅鋅合金焊"
brazen,'breizn,"a. 黃銅製的, 厚顏無恥的\nvt. 厚臉皮地對待"
brazenly,,adv. 厚顏無恥地
brazenness,,"n. 厚顏無恥, (喻)猖狂"
brazier,'breizjә,"n. 火盆, 銅匠"
Brazilian,brә'ziljәn,"n. 巴西人\na. 巴西的, 巴西人的"
breach,bri:tʃ,"n. 裂口, 違背, 破壞, 違反, 突破, 破裂\nvt. 攻破, 突破\nvi. 跳出水面"
breached,bri:tʃt,"v. 攻破( breach的現在分詞 ); 破壞, 違反"
breaching,bri:tʃɪŋ,"v. 攻破( breach的過去式 ); 破壞, 違反"
bread,bred,"n. 麵包, 生計, 食物\nvt. 裹以麵包屑"
breadbasket,"'bred,bɑ:skit","n. 胃, 腹"
breadboard,'bredbɔ:d,[計] 實驗電路板
breadbox,'bredbɔks,"n. (存放麵包或蛋糕等的)麵包箱,麵包盒"
breadcrumb,,n. 麵包屑
breaded,,a. 塗麵包屑后烹制的
breadfruit,,n. 麵包果
breading,,vt. 在…外面裹上麵包屑（bread的ing形式）
breadline,'bredlain,n. 等待分配救濟食物的隊伍
breadstick,," 棍子麵包；麵包棒"
breadth,bredθ,"n. 寬度\n[法] 違背, 違犯, 未遵守"
breadwinner,'bred.winә,n. 負擔家計的人
break,breik,"n. 休息, 中斷, 破裂處, 絕交, 破曉, 突變\nvt. 打破, 弄破, 弄壞, 破壞, 違反, 打斷, 削弱, 放棄\nvi. 破碎, 決裂, 破曉, 突變, 變弱, 暫停\nn. 分隔符\n[計] 分隔符; 中斷; DOS內部命令:設定掃描中斷按鍵的時機"
breakable,'breikәbl,"a. 會破的, 易破的\nn. 易破的東西, 易碎的東西"
breakage,'breikidʒ,"n. 破壞, 破損處, 破損量\n[化] 破裂; 斷裂"
breakaway,,"n. 脫離, (美)(非正式)一碰就散開/脫落的, 分裂"
breakdown,'breikdaun,"n. 崩潰, 故障\n[化] 事故; 擊穿"
breaker,'breikә,n. 斷路器\n[化] 破碎機
breakfast,'brekfәst,n. 早餐
breakfront,'breikfrʌnt,a. (櫥、書架等)斷層式的(指中間部分突出或上半部縮進)
breaking,'breikiŋ,"[計] 斷開, 停止, 設斷點\n[化] 打開; 分割; 打碎; 軋碎; 破碎"
breakneck,'breiknek,"a. 要使頸骨折斷似的, 非常危險的"
breakout,'breikajt,"n. 爆發, 越獄, 突圍\n[計] 中斷, 斷裂"
breakpoint,,[計] 斷點
breakthrough,'breikθru:,"n. 突破\n[經] 突破, 新發現, 新進展"
breakup,'breikʌp,"n. 分裂, 崩潰, 解散, 解體\n[電] 停止"
breakwater,'breikwɒ:tә,n. 防浪堤
bream,bri:m,"n. 歐鯿屬淡水魚, 鯛科海魚\nvt. 打掃"
breast,brest,"n. 胸部, 乳房, 胸懷\nvt. 以胸對着, 面對"
breastbone,'brestbәun,n. 胸骨\n[醫] 胸骨
breasted,'brestid,n. 布雷斯特德（姓氏）
breastfeed,ˈbrestfi:d,"vt.& vi. 用母乳餵養, 哺乳"
breastplate,'brestpleit,"n. 護胸甲, 腹甲, 胸革帶"
breaststroke,'breststrәjk,n. 俯泳
breastwork,'brestwә:k,n. (臨時)矮防護牆
breath,breθ,"n. 呼吸, 氣息, 瞬間\n[醫] 呼氣, 呵氣, 口氣, 呼吸"
breathable,,"a. 可以吸入的, 適宜於吸入的"
breathalyzer,,[法] 體內酒量測定器
breathe,bri:ð,"vi. 呼吸, 生存, 低語\nvt. 呼吸, 使喘息, 發散, 低聲說"
breather,'bri:ðә,"n. 呼吸者, 使人喘氣的事, 劇烈的運動\n[機] 通氣器"
breathing,'bri:ðiŋ,"n. 呼吸, 瞬間, 微風\na. 呼吸的, 逼真的"
breathless,'breθlis,"a. 喘不過氣來的, 屏氣的, 氣喘吁吁的, 無風的, 死的"
breathlessly,'breθləslɪ,"adv. 氣喘地, 屏息地"
breathlessness,'breθləsnəs," 氣絕"
breathtaking,'breθ.teikiŋ,"a. 驚人的, 驚險的"
breathtakingly,'breθteikiŋli,adv. 驚人地；令人激動地
breathy,'breθi,a. 帶呼吸聲的
breccia,'bretʃiә,n. 角礫岩\n[化] 角礫岩
Brechtian,'breʃtiәn,"a. (德國戲劇家和詩人)布萊希特的, 布萊希特風格的, 關於布萊希特的, 布萊希特戲劇(或戲劇技巧)的"
breech,bri:tʃ,"n. 後膛, 臀部\nvt. 給...裝上炮尾, 給...穿上褲子"
breechcloth,'bri:tʃklɔθ,n. 腰布
breed,bri:d,"n. 種類, 品種\nv. 養育, 引起, 飼養, 繁殖"
breeder,'bri:dә,"n. 飼養員, 養育員, 起因, 起源者"
breeding,'bri:diŋ,"n. 教養, 生育, 飼養\n[醫] 生育, 繁殖, 育種, 飼養"
breeze,bri:z,"n. 微風, 煤屑, 輕而易舉的事\nvi. 吹微風, 逃走"
breezeway,'bri:zwei,n. 有屋頂的通路\n[電] 吹風道
breezily,'bri:zili,"adv. 吹微風地, 活潑地, 輕鬆地"
breezy,'bri:zi,"a. 有微風的, 通風好的, 活潑的"
brevet,'brevit,n. 名譽晉陞\nv. 予以名譽晉陞
brevity,'breviti,"n. 短暫, 簡短"
brew,bru:,"n. 釀造酒, 醞釀\nv. 釀造, 醞釀"
brewer,'bru:ә,"n. (啤酒)製造者, 泡製飲料的器皿\n[機] 啤酒工人"
brewery,'bru:әri,"n. 啤酒廠, 釀酒廠\n[經] 釀造所"
brewing,'bru:iŋ,"n. 釀造, 一次釀造的量\n[機] 釀造, 釀酒"
brewmaster,bru:'mɑ:stə," 釀酒專家"
brewpub,ˈbru:ˌpʌb,n. 出售自製啤酒的酒館
briar,'braiә,n. [植]石南；荊棘；用石南根製成之煙斗
bribe,braib,"n. 賄賂\nvt. 賄賂, 收買\nvi. 行賄"
bribery,'braibәri,"n. 賄賂行為, 行賄, 受賄\n[經] 行賄, 受賄"
brick,brik,"n. 磚塊, 積木\na. 用磚做的\nvt. 用磚造, 用磚砌"
brickbat,'brikbæt,"n. 碎磚, 磚片, 侮辱"
bricklayer,'brikleiә,n. 砌磚工人
bricklaying,'brikleiiŋ,"n. 砌磚, 砌磚工作"
brickwork,'brikwә:k,"n. 磚建築物, 砌磚\n[機] 砌磚工作"
brickyard,'brikjɑ:d,n. 磚廠
bricolage,",bri:kәj'lɑ:ʒ","n. 使用手頭現成工具擺弄修理, 利用手頭東西製成的物品"
bricoleur,",bri:kәj'l\\\\:(r)",n. 用手頭現成工具擺弄修理的人
bridal,'braidl,"a. 新娘的, 婚禮的"
bride,braid,n. 新娘
bridegroom,'braidgrum,n. 新郎
bridesmaid,'braidzmeid,n. 女儐相
bridge,bridʒ,"n. 橋, 艦橋, 橋樑, 橋牌\nvt. 架橋於, 跨越\n[計] 橋, 網橋, 橋接器"
bridgehead,'bridʒhed,n. 橋頭堡
bridgework,'bridw\\\\:k,"n. 橋樑工事, (假牙)橋\n[醫] 橋托(牙)"
bridging,'bridʒiŋ,n. 造橋\n[電] 橋接
bridle,'braidl,"n. 馬勒, 約束\n[醫] 系帶, 約束"
brief,bri:f,"n. 摘要, 簡報\na. 簡短的, 短暫的\nvt. 對...作簡報, 摘要, 節錄"
briefcase,'bri:fkeis,n. 公事包
briefer,bri:fə,a. 短暫的( brief的比較級 ); （衣着）短的; 簡潔的; 簡明的
briefing,'bri:fiŋ,"n. 簡報\n[法] 簡報, 情況的簡要介紹"
briefly,'brifli,"adv. 簡短地, 扼要地, 簡明地, 簡單地"
brier,'braiә,n. 多刺木質莖植物\n[醫] 歐石南
brig,bri^,"n. 禁閉室, 警衛室, 監獄"
brigade,bri'geid,"n. 旅, 隊\n[法] 團體, 隊, 組"
brigadier,.brigә'diә,"n. 陸軍准將, 准將"
brigand,'brigәnd,"n. 土匪, 強盜\n[法] 土匪, 盜賊"
brigantine,'brigәntain,n. 雙桅帆船
bright,brait,"a. 明亮的, 聰明的, 鮮明的, 歡快的\nadv. 明亮地, 歡快地"
brighten,'braitn,"vi. 變亮, 活躍\nvt. 使生輝, 使快活"
brightening,'braitniŋ,"[機] 擦亮, 純化"
brightly,'braitli,"adv. 生輝地, 明亮地, 鮮明地"
brightness,'braitnis,"n. 光亮, 明亮, 聰明\n[計] 亮度"
brights,braits,[地質]亮煤
brilliance,'briljәns,"n. 卓越, 光輝\n[電] 輝度"
brilliancy,'brɪljənsɪ,"n. 光輝, 出色"
brilliant,'briljәnt,"a. 光輝的, 燦爛的, 有才氣的\n[機] 亮的"
brilliantly,'brijәntli,"adv. 輝煌地, 光亮地, 燦爛地"
brim,brim,"n. 邊, 邊緣, (河)邊\nvt. 注滿, 使滿溢\nvi. 滿溢"
brimful,brim'fjl,"a. 滿到邊的, 洋溢着...的, 滿溢的"
brimmed,brimd,a. 滿到邊際的
brimming,,a. 盈滿的；滿溢的
brimstone,'brimstәun,n. 硫磺\n[化] 硫黃
brindle,'brindl,"n. 斑, 斑紋"
brindled,'brindld,"a. 有斑的, 有斑紋的"
brine,brain,"n. 鹽水, 海水, 海\nvt. 用濃鹽水處理"
brined,braind,v. 滷水( brine的過去式和過去分詞 ); 濃鹽水; 海; 海水
bring,briŋ,"vt. 帶來, 產生, 促使, 提出\nvi. 生產"
bringer, 'brɪŋə,n. 帶來...的人；提供者
bringing,briŋɪŋ,v. 帶來( bring的現在分詞 ); 促使; 提供; 使朝（某方向或按某方式）移動
brink,briŋk,"n. 邊緣, 陡岸"
brinkmanship,'briŋkmәnʃip,"n. 邊緣政策\n[法] 外交冒險政策, 緊急政策"
briny,'braini,"a. 鹽水似的, 海水似的, 鹹的\n[機] 含鹽度"
brio,'bri:әu,"n. 元氣充沛, 生動"
brioche,'bri(:)әuʃ,"n. 奶油糕點,奶油蛋卷"
briquette,bri'ket,"n. 煤磚, 煤球\n[化] 煤磚(包括煤球蜂窩煤等); (礦粉)團塊; 壓塊; 坯塊"
bris,b'rɪs,n. 割禮
brisk,brisk,"a. 強烈的, 寒冷而乾燥的, 活潑的\nvt. 使活潑\nvi. 活躍起來"
brisket,'briskit,"n. 動物的胸部, 動物的胸肉"
briskly,'briskli,"adv. 活潑地, 精神勃勃地"
briskness,'brisknis,"n. 輕快, 活潑"
bristle,'brisl,"n. 剛毛, 豬鬃\nvi. 直立, 發怒, 充滿\nvt. 使直立"
bristling,,"a. (毛髮)直立的, 發怒的"
bristly,'brisli,"a. 有剛毛的, 如剛毛的, 易怒的"
britches,'britʃiz,n. 褲子；馬褲（長及膝蓋的褲子）
British,'britiʃ,"a. 英國的\nn. 英國人, 英國英語"
Briton,'britәn,"n. 大不列顛人, 英國人"
brittle,'britl,"a. 易碎的, 脆弱的, 易壞的\n[機] 脆的, 脆性的, 易碎的"
brittleness,'britlnis,"[計] 脆度, 致命性\n[化] 脆性"
bro,,abbr. 兄弟（brother）
broach,brәutʃ,"n. 燒肉叉, 鑿子, 鑽頭\nvt. 用鑿子修琢(石塊), 鑽孔\nvi. 露出水面"
broad,brɒ:d,"a. 寬廣的, 遼闊的, 廣大的, 顯著的\nadv. 寬闊地\nn. 寬闊部分"
broadband,'brɔ:dbænd,[計] 寬帶
broadcast,'brɒ:dkæst,"n. 廣播, 傳播\na. 廣播的\nv. 廣播\nadv. 經廣播, 四散地\n[計] 廣播命令, 廣播"
broadcaster,'brɒ:dkæstә,"n. 播送者, 廣播裝置, 播種機"
broadcasting,'brɒ:dkæstiŋ,n. 廣播\n[電] 廣播
broadcloth,'brɔ:dklɔθ; (?@) 'brɔ:dklɔ:θ,"n. 各式細平布, 絨面呢"
broaden,'brɒ:dn,"vi. 變寬, 擴大\nvt. 放寬, 使擴大"
broadened,ˈbrɔ:dnd,"v. 使…變寬, 擴展( broaden的過去式和過去分詞 ); 增長（經驗、知識等）"
broadening,'brɔ:dniŋ,n. 增寬
broadhead,," [人名] [英格蘭人姓氏] 布羅德黑德綽號, 寬額或大頭者, 來源於中世紀英語, 含義是“寬闊的+頭”(broad+head)"
broadleaf,'brɒ:dli:f,n. 闊煙葉
broadly,'brɒ:dli,"adv. 寬廣地, 明白地, 無禮貌地"
broadness,'brɒ:dnis,"n. 闊, 明白, 粗野\n[電] 寬度"
broadsheet,'brɒ:dʃi:t,n. 大幅單(或雙)面印刷品
broadside,'brɔ:dsaid,"n. 猛烈的攻擊/譴責, 連珠炮似的攻訐/譴責, 舷側\nadv. 無目標地, 胡亂地"
broadsword,'brɒ:dsɒ:d,"n. 大刀, 闊刀"
broadtail,'brɒ:dteil,"n. 粗尾羊(中亞產), 粗尾羊的羔羊毛皮"
broadway,'brɒ:dwei,n. 百老匯大街
Brobdingnagian,",brɔbdiŋ'næɡiən",n. 巨人\na. 巨大的；大人國的
brocade,brәu'keid,n. 織錦
brocaded,brәu'keidid,a. 織成錦緞的
broccoli,'brɒkәli,n. 花椰菜
brochure,'brәuʃә,"n. 小冊子, 小冊"
brogue,brәug,"n. 土腔, 拷花皮鞋"
broil,brɒil,"vi. 烤, 爭吵, 激動\nvt. 烤\nn. 烤, 灼熱, 爭吵"
broiled,,"a. 炙的, 焙的；烤過的；燒烤"
broiler,'brɔilә(r),"n. 小雞, 適合於烤焙的小雞, 烤肉師傅, 烤焙用具, 大熱天"
broiling,'brɒiliŋ,"a. 灼熱的, 酷熱的, 似燒的"
broke,brәuk,a. 一文不名的\nbreak的過去式
broken,'brәukәn,"a. 壞掉的, 打破的, 斷掉的\nbreak的過去分詞"
brokenly,'brәukәnli,"adv. 斷斷續續地, 不連貫地"
brokenness,,破碎（broken的名詞形式）
broker,'brәukә,"n. 掮客, 經紀人\n[經] 經紀人, 掮客"
brokerage,'brәukәridʒ,"n. 經紀人, 回扣, 傭金, 中間人業務\n[經] 經紀業, 傭金, 手續費"
brokered,ˈbrəukəd,a. 由權力經紀人安排（或控制）的\nv. 做掮客（或中人等）( broker的過去式和過去分詞 ); 作為權力經紀人進行談判; 以中間人等身份安排…
brokering,ˈbrəʊkərɪŋ,v. 做掮客（或中人等）( broker的現在分詞 ); 作為權力經紀人進行談判; 以中間人等身份安排…
bromeliad,"brәu'mili,æd",n. 鳳梨科植物
bromide,'brәumaid,"n. 溴化物, 庸俗的人\n[化] 溴化物"
bromine,'brәumi:n,n. 溴\n[化] 溴Br
bronc,brɔŋk,n. 北美西部產的野馬
bronchi,'brɔŋki,"pl. 支氣管, 細支氣管\n[醫] 支氣管"
bronchial,'brɔŋkiәl,"a. 支氣管, 細支氣管\n[醫] 支氣管的"
bronchiectasis,",brɔŋki'ektәsis","n. 支氣管擴張, 細支氣管擴張\n[醫] 支氣管擴張"
bronchitis,brɒŋ'kaitis,n. 支氣管炎\n[醫] 支氣管炎
bronchodilator,,"[醫] 支氣管擴張葯, 支氣管擴張器"
bronchoscope,'brɒŋkәskәup,n. 支氣管鏡\n[醫] 支氣管鏡
bronco,'brɒŋkәu,n. 野馬
brontosaur,brɒntə'sɔ:,n. 雷龍
brontosaurus,.brɒntә'sɒ:rәs,n. 雷龍(古生物)
bronze,brɒnz,"n. 青銅, 銅像\na. 青銅色的"
bronzed,,[醫] 青銅色的
bronzer,'brɔnzә(r),n. 古銅色化妝品
bronzing,'brɒnziŋ,n. 燙金\n[化] 鍍青銅
bronzy,'brɔnzi,"a. 青銅色的,仿青銅的"
brooch,brәutʃ,"n. 胸針, 領針"
brood,bru:d,"n. 一窩, 一夥\nvt. 孵, 沉思"
brooder,'bru:dә,"n. 育雛暖房, 沉思的人, 默想的人"
brooding,'bru:diŋ,a. 沉思的；徘徊不去的
broodmare,'bru:dmeә(r),n. 傳種母馬
broody,'bru:di,"a. (要)抱窩的, 多產的, 思考的"
brook,bruk,n. 小溪\nvt. 容忍
broom,bru:m,"n. 掃帚, 金雀花\nvt. 掃除"
broomstick,'bru:mstik,n. 掃帚柄
broth,brɒθ,"n. 原汁清湯, 肉湯\n[醫] 肉湯(培養基)"
brothel,'brɒθәl,n. 妓院\n[法] 妓院
brother,'brʌðә,n. 兄弟
brotherhood,'brʌðәhud,"n. 手足情誼, 兄弟關係"
brotherly,'brʌðәli,"a. 兄弟的, 親兄弟似的, 親切的"
brougham,'bru(:)әm,n. 早年的舊式汽車
brouhaha,bru:'hɑ:hɑ:,"n. 吵鬧, 騷動"
brow,brau,"n. 眉毛, 額\n[醫] 額, 眉, 睫毛"
